Driver,Team,QualiPosition,QualiLap,AvgLapTime (s),RacePosition,TotalRaceTime_s,Seat,Round,Circuit,TrackTemp,Rainfall,DriverMomentum,Quali_form,Race_form,DNF
ALB,Williams,13.0,90.221,97.534568627,15.0,5516.628000000001,Williams_1,1,Sakhir,23.652866242038225,False,0.0,13.0,15.0,0
ALO,AstonMartin,6.0,89.542,96.84516,9.0,5579.629,AstonMartin_1,1,Sakhir,23.652866242038225,False,0.0,6.0,9.0,0
BOT,KickSauber,16.0,90.756,97.536413043,19.0,5587.972,KickSauber_1,1,Sakhir,23.652866242038225,False,0.0,16.0,19.0,0
GAS,Alpine,20.0,90.948,97.175782608,18.0,5537.159000000001,Alpine_1,1,Sakhir,23.652866242038225,False,0.0,20.0,18.0,0
HAM,Mercedes,9.0,89.71,96.495,7.0,5555.066,Mercedes_1,1,Sakhir,23.652866242038225,False,0.0,9.0,7.0,0
HUL,Haas,10.0,89.851,96.788795918,16.0,5522.374,Haas_1,1,Sakhir,23.652866242038225,False,0.0,10.0,16.0,0
LEC,Ferrari,2.0,89.165,96.404207547,4.0,5544.411,Ferrari_1,1,Sakhir,23.652866242038225,False,0.0,2.0,4.0,0
MAG,Haas,15.0,90.529,97.37732653,12.0,5513.058,Haas_2,1,Sakhir,23.652866242038225,False,0.0,15.0,12.0,0
NOR,McLaren,7.0,89.614,96.46351923,6.0,5553.2,McLaren_1,1,Sakhir,23.652866242038225,False,0.0,7.0,6.0,0
OCO,Alpine,19.0,90.793,97.652260869,17.0,5536.192,Alpine_2,1,Sakhir,23.652866242038225,False,0.0,19.0,17.0,0
PER,RedBullRacing,5.0,89.537,96.039846153,2.0,5527.1990000000005,RedBullRacing_2,1,Sakhir,23.652866242038225,False,0.0,5.0,2.0,0
PIA,McLaren,8.0,89.683,96.537673076,8.0,5560.8240000000005,McLaren_2,1,Sakhir,23.652866242038225,False,0.0,8.0,8.0,0
RIC,RacingBulls,14.0,90.278,97.261531914,13.0,5513.7,RacingBulls_1,1,Sakhir,23.652866242038225,False,0.0,14.0,13.0,0
RUS,Mercedes,3.0,89.485,96.474134615,5.0,5551.53,Mercedes_2,1,Sakhir,23.652866242038225,False,0.0,3.0,5.0,0
SAI,Ferrari,4.0,89.507,96.103076923,3.0,5529.852,Ferrari_2,1,Sakhir,23.652866242038225,False,0.0,4.0,3.0,0
SAR,Williams,18.0,90.77,96.920052631,20.0,5525.537,Williams_2,1,Sakhir,23.652866242038225,False,0.0,18.0,20.0,0
